,Country,Address,mts2,mts2_house,Bathrooms,Bedrooms,Price
202,Capital,Mendoza,275.0,150.0,2.0,3.0,110000.0
203,Capital,Mendoza,500.0,250.0,3.0,2.0,260000.0
204,Capital,Mendoza,180.0,240.0,3.0,4.0,170000.0
205,Capital,Mendoza,134.0,157.0,2.0,3.0,110000.0
206,Capital,Mendoza,600.0,385.0,5.0,4.0,290000.0
207,Capital,Mendoza,219.0,220.0,1.0,6.0,170000.0
208,Capital,Mendoza,148.0,200.0,2.0,3.0,120000.0
209,Capital,Mendoza,500.0,400.0,4.0,6.0,350000.0
210,Capital,Mendoza,250.0,180.0,2.0,3.0,115000.0
211,Capital,Mendoza,350.0,250.0,3.0,4.0,295000.0
212,Capital,Mendoza,330.0,115.0,1.0,1.0,150000.0
213,Capital,Mendoza,190.0,110.0,2.0,3.0,80000.0
214,Capital,Mendoza,449.0,285.0,3.0,3.0,285000.0
215,Capital,Mendoza,175.0,130.0,3.0,4.0,165000.0
216,Capital,Mendoza,120.0,88.0,2.0,4.0,88500.0
217,Capital,Mendoza,294.0,241.0,4.0,3.0,200000.0
218,Capital,Mendoza,342.0,188.0,3.0,3.0,255000.0
219,Capital,Mendoza,200.0,170.0,2.0,3.0,85000.0
220,Capital,Mendoza,300.0,230.0,3.0,4.0,280000.0
221,Capital,Mendoza,200.0,320.0,3.0,4.0,250000.0
222,Capital,Mendoza,300.0,240.0,3.0,4.0,229000.0
223,Capital,Mendoza,210.0,165.0,2.0,3.0,150000.0
224,Capital,Mendoza,370.0,299.0,4.0,3.0,200000.0
225,Capital,Mendoza,1200.0,295.0,3.0,3.0,550000.0
226,Capital,Mendoza,200.0,130.0,2.0,3.0,110000.0
227,Capital,Mendoza,450.0,300.0,5.0,5.0,300000.0
228,Capital,Mendoza,120.0,100.0,3.0,3.0,185000.0
229,Capital,Mendoza,311.0,156.0,3.0,4.0,95000.0
230,Capital,Mendoza,160.0,127.0,2.0,4.0,56000.0
231,Capital,Mendoza,273.0,202.0,3.0,4.0,219900.0
232,Capital,Mendoza,500.0,460.0,5.0,4.0,515000.0
233,Capital,Mendoza,800.0,400.0,5.0,4.0,350000.0
234,Capital,Mendoza,110.0,100.0,2.0,3.0,90000.0
235,Capital,Mendoza,200.0,181.0,2.0,4.0,75000.0
236,Capital,Mendoza,210.0,206.0,3.0,3.0,180000.0
237,Capital,Mendoza,175.0,147.0,2.0,4.0,159000.0
238,Capital,Mendoza,140.0,115.0,2.0,3.0,90000.0
239,Capital,Mendoza,275.0,188.0,4.0,3.0,128000.0
240,Capital,Mendoza,450.0,230.0,3.0,3.0,230000.0
241,Capital,Mendoza,174.0,177.0,2.0,4.0,100000.0
242,Capital,Mendoza,346.0,310.0,3.0,5.0,230000.0
243,Capital,Mendoza,213.0,196.0,3.0,5.0,180000.0
244,Capital,Mendoza,396.0,292.0,4.0,4.0,95000.0
245,Capital,Mendoza,358.0,190.0,4.0,5.0,115000.0
246,Capital,Mendoza,300.0,210.0,3.0,3.0,240000.0
247,Capital,Mendoza,222.0,129.0,1.0,3.0,89000.0
248,Capital,Mendoza,400.0,400.0,3.0,4.0,290000.0
249,Capital,Mendoza,170.0,131.0,2.0,3.0,72000.0
250,Capital,Mendoza,170.0,160.0,2.0,6.0,78000.0
251,Capital,Mendoza,127.0,197.0,3.0,3.0,298000.0
252,Capital,Mendoza,260.0,146.0,2.0,3.0,110000.0
253,Capital,Mendoza,150.0,90.0,1.0,3.0,80000.0
254,Capital,Mendoza,266.0,300.0,4.0,5.0,140000.0
255,Capital,Mendoza,324.0,251.0,4.0,5.0,170000.0
256,Capital,Mendoza,1200.0,800.0,3.0,3.0,1200000.0
257,Capital,Mendoza,600.0,336.0,5.0,4.0,380000.0
258,Capital,Mendoza,300.0,180.0,2.0,2.0,210000.0
259,Capital,Mendoza,529.0,280.0,3.0,3.0,340000.0
260,Capital,Mendoza,700.0,350.0,3.0,3.0,400000.0
261,Capital,Mendoza,135.0,130.0,2.0,3.0,99000.0
262,Capital,Mendoza,317.0,400.0,5.0,5.0,520000.0
263,Capital,Mendoza,90.0,90.0,1.0,3.0,75000.0
264,Capital,Mendoza,450.0,295.0,4.0,4.0,355000.0
265,Capital,Mendoza,400.0,250.0,3.0,4.0,380000.0
266,Capital,Mendoza,182.0,189.0,3.0,4.0,170000.0
267,Capital,Mendoza,700.0,400.0,3.0,4.0,250000.0
268,Capital,Mendoza,573.0,200.0,3.0,3.0,250000.0
269,Capital,Mendoza,600.0,370.0,4.0,4.0,600000.0
270,Capital,Mendoza,330.0,220.0,2.0,3.0,95000.0
271,Capital,Mendoza,165.0,160.0,3.0,4.0,130000.0
272,Capital,Mendoza,312.0,296.0,5.0,6.0,170000.0
273,Capital,Mendoza,282.0,270.0,3.0,4.0,220000.0
274,Capital,Mendoza,1317.0,275.0,3.0,3.0,450000.0
275,Capital,Mendoza,253.0,165.0,3.0,4.0,135000.0
276,Capital,Mendoza,240.0,207.0,3.0,4.0,140000.0
277,Capital,Mendoza,400.0,220.0,3.0,3.0,240000.0
278,Capital,Mendoza,400.0,230.0,2.0,3.0,220000.0
279,Capital,Mendoza,230.0,190.0,2.0,2.0,195000.0
280,Capital,Mendoza,360.0,380.0,4.0,3.0,245000.0
281,Capital,Mendoza,410.0,370.0,4.0,4.0,270000.0
282,Capital,Mendoza,258.0,248.0,2.0,3.0,155000.0
283,Capital,Mendoza,342.0,247.0,4.0,3.0,170000.0
284,Capital,Mendoza,270.0,220.0,2.0,2.0,65000.0
285,Capital,Mendoza,163.0,288.0,5.0,3.0,200000.0
286,Capital,Mendoza,179.0,178.0,2.0,4.0,85000.0
287,Capital,Mendoza,300.0,180.0,3.0,3.0,230000.0
288,Capital,Mendoza,900.0,320.0,4.0,3.0,270000.0
289,Capital,Mendoza,385.0,206.0,3.0,4.0,200000.0
290,Capital,Mendoza,500.0,250.0,2.0,3.0,150000.0
291,Capital,Mendoza,317.0,172.0,2.0,4.0,90000.0
292,Capital,Mendoza,370.0,220.0,3.0,3.0,270000.0
293,Capital,Mendoza,600.0,340.0,3.0,3.0,380000.0
294,Capital,Mendoza,93.0,86.0,1.0,2.0,50000.0
295,Capital,Mendoza,500.0,390.0,4.0,5.0,350000.0
296,Capital,Mendoza,95.0,90.0,2.0,3.0,67000.0
297,Capital,Mendoza,2400.0,840.0,6.0,5.0,500000.0
298,Capital,Mendoza,225.0,97.0,2.0,1.0,185000.0
299,Capital,Mendoza,220.0,216.0,1.0,3.0,70000.0
300,Capital,Mendoza,300.0,130.0,2.0,3.0,170000.0
301,Capital,Mendoza,190.0,237.0,3.0,5.0,119000.0
302,Capital,Mendoza,355.0,230.0,3.0,4.0,89000.0
303,Capital,Mendoza,750.0,490.0,5.0,6.0,580000.0
304,Capital,Mendoza,550.0,480.0,4.0,3.0,380000.0
