,Country,Address,mts2,mts2_house,Bathrooms,Bedrooms,Price
179,Capital,Mendoza,150m2,230m2,3,4,US$ 135.000
180,Capital,Mendoza,646m2,178m2,2,4,US$ 73.000
181,Capital,Mendoza,881m2,436m2,5,4,US$ 550.000
182,Capital,Mendoza,330m2,260m2,3,6,US$ 89.000
183,Capital,Mendoza,450m2,260m2,3,4,US$ 358.000
184,Capital,Mendoza,230m2,450m2,3,4,US$ 330.000
185,Capital,Mendoza,94m2,65m2,1,2,US$ 38.000
186,Capital,Mendoza,179m2,176m2,2,4,US$ 81.500
187,Capital,Mendoza,600m2,300m2,4,3,US$ 315.000
188,Capital,Mendoza,129m2,116m2,2,3,US$ 86.000
189,Capital,Mendoza,160m2,140m2,2,3,US$ 65.000
190,Capital,Mendoza,300m2,170m2,3,3,US$ 220.000
191,Capital,Mendoza,288m2,215m2,4,5,US$ 170.000
192,Capital,Mendoza,200m2,150m2,3,3,US$ 82.000
193,Capital,Mendoza,300m2,150m2,3,3,US$ 240.000
194,Capital,Mendoza,300m2,280m2,4,4,US$ 230.000
195,Capital,Mendoza,300m2,215m2,3,3,US$ 220.000
196,Capital,Mendoza,704m2,402m2,5,4,US$ 172.000
197,Capital,Mendoza,338m2,123m2,1,3,US$ 65.001
198,Capital,Mendoza,900m2,380m2,3,4,US$ 240.000
199,Capital,Mendoza,158m2,240m2,2,4,US$ 138.000
200,Capital,Mendoza,238m2,243m2,3,3,US$ 250.000
201,Capital,Mendoza,720m2,370m2,4,3,US$ 550.000
202,Capital,Mendoza,275m2,150m2,2,3,US$ 110.000
203,Capital,Mendoza,500m2,250m2,3,2,US$ 260.000
204,Capital,Mendoza,180m2,240m2,3,4,US$ 170.000
205,Capital,Mendoza,134m2,157m2,2,3,US$ 110.000
206,Capital,Mendoza,600m2,385m2,5,4,US$ 290.000
207,Capital,Mendoza,219m2,220m2,1,6,US$ 170.000
208,Capital,Mendoza,148m2,200m2,2,3,US$ 120.000
209,Capital,Mendoza,500m2,400m2,4,6,US$ 350.000
210,Capital,Mendoza,250m2,180m2,2,3,US$ 115.000
211,Capital,Mendoza,350m2,250m2,3,4,US$ 295.000
212,Capital,Mendoza,330m2,115m2,1,1,US$ 150.000
213,Capital,Mendoza,190m2,110m2,2,3,US$ 80.000
214,Capital,Mendoza,449m2,285m2,3,3,US$ 285.000
215,Capital,Mendoza,175m2,130m2,3,4,US$ 165.000
216,Capital,Mendoza,120m2,88m2,2,4,US$ 88.500
217,Capital,Mendoza,294m2,241m2,4,3,US$ 200.000
218,Capital,Mendoza,342m2,188m2,3,3,US$ 255.000
219,Capital,Mendoza,200m2,170m2,2,3,US$ 85.000
220,Capital,Mendoza,300m2,230m2,3,4,US$ 280.000
221,Capital,Mendoza,200m2,320m2,3,4,US$ 250.000
222,Capital,Mendoza,300m2,240m2,3,4,US$ 229.000
223,Capital,Mendoza,210m2,165m2,2,3,US$ 150.000
224,Capital,Mendoza,370m2,299m2,4,3,US$ 200.000
225,Capital,Mendoza,1200m2,295m2,3,3,US$ 550.000
226,Capital,Mendoza,200m2,130m2,2,3,US$ 110.000
227,Capital,Mendoza,450m2,300m2,5,5,US$ 300.000
228,Capital,Mendoza,120m2,100m2,3,3,US$ 185.000
229,Capital,Mendoza,311m2,156m2,3,4,US$ 95.000
230,Capital,Mendoza,160m2,127m2,2,4,US$ 56.000
231,Capital,Mendoza,273m2,202m2,3,4,US$ 219.900
232,Capital,Mendoza,500m2,460m2,5,4,US$ 515.000
233,Capital,Mendoza,800m2,400m2,5,4,US$ 350.000
234,Capital,Mendoza,110m2,100m2,2,3,US$ 90.000
235,Capital,Mendoza,200m2,181m2,2,4,US$ 75.000
236,Capital,Mendoza,210m2,206m2,3,3,US$ 180.000
237,Capital,Mendoza,175m2,147m2,2,4,US$ 159.000
238,Capital,Mendoza,140m2,115m2,2,3,US$ 90.000
239,Capital,Mendoza,275m2,188m2,4,3,US$ 128.000
240,Capital,Mendoza,450m2,230m2,3,3,US$ 230.000
241,Capital,Mendoza,174m2,177m2,2,4,US$ 100.000
242,Capital,Mendoza,346m2,310m2,3,5,US$ 230.000
243,Capital,Mendoza,213m2,196m2,3,5,US$ 180.000
244,Capital,Mendoza,396m2,292m2,4,4,US$ 95.000
245,Capital,Mendoza,358m2,190m2,4,5,US$ 115.000
246,Capital,Mendoza,300m2,210m2,3,3,US$ 240.000
247,Capital,Mendoza,222m2,129m2,1,3,US$ 89.000
248,Capital,Mendoza,400m2,400m2,3,4,US$ 290.000
249,Capital,Mendoza,170m2,131m2,2,3,US$ 72.000
250,Capital,Mendoza,170m2,160m2,2,6,US$ 78.000
251,Capital,Mendoza,127m2,197m2,3,3,US$ 298.000
252,Capital,Mendoza,260m2,146m2,2,3,US$ 110.000
253,Capital,Mendoza,150m2,90m2,1,3,US$ 80.000
254,Capital,Mendoza,266m2,300m2,4,5,US$ 140.000
255,Capital,Mendoza,324m2,251m2,4,5,US$ 170.000
256,Capital,Mendoza,1200m2,800m2,3,3,US$ 1.200.000
257,Capital,Mendoza,600m2,336m2,5,4,US$ 380.000
258,Capital,Mendoza,300m2,180m2,2,2,US$ 210.000
259,Capital,Mendoza,529m2,280m2,3,3,US$ 340.000
260,Capital,Mendoza,700m2,350m2,3,3,US$ 400.000
261,Capital,Mendoza,135m2,130m2,2,3,US$ 99.000
262,Capital,Mendoza,317m2,400m2,5,5,US$ 520.000
263,Capital,Mendoza,90m2,90m2,1,3,US$ 75.000
264,Capital,Mendoza,450m2,295m2,4,4,US$ 355.000
265,Capital,Mendoza,400m2,250m2,3,4,US$ 380.000
266,Capital,Mendoza,182m2,189m2,3,4,US$ 170.000
267,Capital,Mendoza,700m2,400m2,3,4,US$ 250.000
268,Capital,Mendoza,573m2,200m2,3,3,US$ 250.000
269,Capital,Mendoza,600m2,370m2,4,4,US$ 600.000
270,Capital,Mendoza,330m2,220m2,2,3,US$ 95.000
271,Capital,Mendoza,165m2,160m2,3,4,US$ 130.000
272,Capital,Mendoza,312m2,296m2,5,6,US$ 170.000
273,Capital,Mendoza,282m2,270m2,3,4,US$ 220.000
274,Capital,Mendoza,1317m2,275m2,3,3,US$ 450.000
275,Capital,Mendoza,253m2,165m2,3,4,US$ 135.000
276,Capital,Mendoza,240m2,207m2,3,4,US$ 140.000
277,Capital,Mendoza,400m2,220m2,3,3,US$ 240.000
278,Capital,Mendoza,400m2,230m2,2,3,US$ 220.000
279,Capital,Mendoza,230m2,190m2,2,2,US$ 195.000
280,Capital,Mendoza,360m2,380m2,4,3,US$ 245.000
281,Capital,Mendoza,410m2,370m2,4,4,US$ 270.000
282,Capital,Mendoza,258m2,248m2,2,3,US$ 155.000
283,Capital,Mendoza,342m2,247m2,4,3,US$ 170.000
284,Capital,Mendoza,270m2,220m2,2,2,US$ 65.000
285,Capital,Mendoza,163m2,288m2,5,3,US$ 200.000
286,Capital,Mendoza,179m2,178m2,2,4,US$ 85.000
287,Capital,Mendoza,300m2,180m2,3,3,US$ 230.000
288,Capital,Mendoza,900m2,320m2,4,3,US$ 270.000
289,Capital,Mendoza,385m2,206m2,3,4,US$ 200.000
290,Capital,Mendoza,500m2,250m2,2,3,US$ 150.000
291,Capital,Mendoza,317m2,172m2,2,4,US$ 90.000
292,Capital,Mendoza,370m2,220m2,3,3,US$ 270.000
293,Capital,Mendoza,600m2,340m2,3,3,US$ 380.000
294,Capital,Mendoza,93m2,86m2,1,2,US$ 50.000
295,Capital,Mendoza,500m2,390m2,4,5,US$ 350.000
296,Capital,Mendoza,95m2,90m2,2,3,US$ 67.000
297,Capital,Mendoza,2400m2,840m2,6,5,US$ 500.000
298,Capital,Mendoza,225m2,97m2,2,1,US$ 185.000
299,Capital,Mendoza,220m2,216m2,1,3,US$ 70.000
300,Capital,Mendoza,300m2,130m2,2,3,US$ 170.000
301,Capital,Mendoza,190m2,237m2,3,5,US$ 119.000
302,Capital,Mendoza,355m2,230m2,3,4,US$ 89.000
303,Capital,Mendoza,750m2,490m2,5,6,US$ 580.000
304,Capital,Mendoza,550m2,480m2,4,3,US$ 380.000
305,Capital,Mendoza,330m2,230m2,3,4,US$ 210.000
306,Capital,Mendoza,384m2,210m2,2,3,US$ 249.990
307,Capital,Mendoza,520m2,159m2,2,3,US$ 165.000
308,Capital,Mendoza,700m2,350m2,4,4,US$ 340.000
309,Capital,Mendoza,300m2,235m2,4,4,US$ 250.000
310,Capital,Mendoza,500m2,340m2,5,3,US$ 330.000
311,Capital,Mendoza,220m2,400m2,3,4,US$ 210.000
312,Capital,Mendoza,440m2,330m2,5,4,US$ 500.000
